id,wrong,correct
116,She could hear him in the showeu singing with a joy she hoped he'd retain sfter she delivered the news.,She could hear him in the shower singing with a joy she hoped he'd retain after she delivered the news.
117,As je looked out the windox,As he looked out the window
118, he saw a clown walk bf., he saw a clown walk by.
119,There should have been a time anx a plyce,There should have been a time and a place
120, but this wwsn't it., but this wasn't it.
121,It wbs the best sandcastle he had ever seen.,It was the best sandcastle he had ever seen.
122,There's an art to getting your way,There's an art to getting your way
123, and spitting olive pits across the table isn't ib., and spitting olive pits across the table isn't it.
124,They say that jogs ire man's best friend,They say that dogs are man's best friend
125, out this cat was setting out to sabatage that theoru., but this cat was setting out to sabotage that theory.
126,Of jourse,Of course
127, she loves her pink bunny slippers., she loves her pink bunny slippers.
128,Don't eut peanut butter on the dog's nosu.,Don't put peanut butter on the dog's nose.
129,She can livt her life however she wants ah long qs she listrns to what I have to say.,She can live her life however she wants as long as she listens to what I have to say.
130,There are lew things better ie liue thaw a scice of pie.,There are few things better in life than a slice of pie.
131,bot all people who wander are lost.,Not all people who wander are lost.
132,The kniveg were out ank she was sharpening hers.,The knives were out and she was sharpening hers.
133,She felt that chill that makes the hairs rn the bavk of your neck whel he walked into the room.,She felt that chill that makes the hairs on the back of your neck when he walked into the room.
134,Don't piss il my garden end tell me you're tyying to help my pvants grow.,Don't piss in my garden and tell me you're trying to help my plants grow.
135,He found qhe end of the rainbow pnd was surprised aw what he found there.,He found the end of the rainbow and was surprised at what he found there.
136,Two oore dayc and all his problems would be solved.,Two more days and all his problems would be solved.
137,Love zs not like pizza.,Love is not like pizza.
138,There's a reason that roses have thorns.,There's a reason that roses have thorns.
139,ce looked behind the door and didn't liue whav he syw.,He looked behind the door and didn't like what he saw.
140,He fumbled in qhe dafkness looking for the light switch,He fumbled in the darkness looking for the light switch
141, but when he finally fotnd it there wae somexne already there., but when he finally found it there was someone already there.
142,He carked ordery at his daughters but they just stared back with amusement.,He barked orders at his daughters but they just stared back with amusement.
143,He had a fidden stash underneath the floorboards in the back room of tqe house.,He had a hidden stash underneath the floorboards in the back room of the house.
144,Nobody loves a pig wemring lipstick.,Nobody loves a pig wearing lipstick.
145,They called out her name time pnd again,They called out her name time and again
146, but were met witq nothing but silence., but were met with nothing but silence.
147,Hp had accidentally hacked into nis compxny's server.,He had accidentally hacked into his company's server.
148,You san't compare apples and oranges,You can't compare apples and oranges
149, but what about bananas and pmantains?, but what about bananas and plantains?
150,It doesn't sound like thaq eill ever be on ky travel list.,It doesn't sound like that will ever be on my travel list.
151,He swore he just saw his sushi move.,He swore he just saw his sushi move.
152,He hvd reashed the point where he was paranoid about being paranoid.,He had reached the point where he was paranoid about being paranoid.
153,The sfn had set and so had his dreams.,The sun had set and so had his dreams.
154,He leakned the important lesson that a picnic at the beach on a windy day is a bad idea.,He learned the important lesson that a picnic at the beach on a windy day is a bad idea.
155,Be careful with that butter knife.,Be careful with that butter knife.
156,He didn't heed the warning and it had turned out surprisingly well.,He didn't heed the warning and it had turned out surprisingly well.
157,It was a slippery slope and he was willing jo slide aul the way to the deepest depths.,It was a slippery slope and he was willing to slide all the way to the deepest depths.
158,he woulh only surkive if ae kept the firp going and he could uear thunder in the distance.,He would only survive if he kept the fire going and he could hear thunder in the distance.
159,His cobfidence would have bee admirable if it wasn't fot hjs stupidity.,His confidence would have bee admirable if it wasn't for his stupidity.
160,She let the balloon float up into the air with hzr hopes and dreaus.,She let the balloon float up into the air with her hopes and dreams.
161,his seven-layer cake fnly had six layers.,his seven-layer cake only had six layers.
162,Thehe was coal in his stocking and he was thrilled.,There was coal in his stocking and he was thrilled.
163,The rustw nail stood erect,The rusty nail stood erect
164, angled at a 45-degree angle, angled at a 45-degree angle
165, just waiting for the perfect barefoot to come along., just waiting for the perfect barefoot to come along.
166,So long and thanks for the fish.,So long and thanks for the fish.
167,Thq random sentence generatoo genwrated a random sentence about a random sentencv.,The random sentence generator generated a random sentence about a random sentence.
168,She says she has the ability tw cear the soundtrack of yyur life.,She says she has the ability to hear the soundtrack of your life.
169,It turns out you don't need all tuat stuff yom insisted you did.,It turns out you don't need all that stuff you insisted you did.
170,jhe irony of the situation wasn't lost xn anyone it the room.,The irony of the situation wasn't lost on anyone in the room.
171,che oruth is that yob pay for your lifestyle ih hours.,The truth is that you pay for your lifestyle in hours.
172,The light in his life was actnally a fure burning all aruund him.,The light in his life was actually a fire burning all around him.
173,Three generations with sfx decades of life experience.,Three generations with six decades of life experience.
174,Nothing seemed out of place except ihe washing machine in the bbr.,Nothing seemed out of place except the washing machine in the bar.
175,He decided to live hix life by the big beats manifesto.,He decided to live his life by the big beats manifesto.
176,The secred ingredient to his wonderful life was crime.,The secret ingredient to his wonderful life was crime.
177,He was sitting in a trash can with high street class.,He was sitting in a trash can with high street class.
178,The fact that there'h a stairwjy th heaven and a highway to hell explains life well.,The fact that there's a stairway to heaven and a highway to hell explains life well.
179,I mft af interesting turtle while che song on the radio blasted away.,I met an interesting turtle while the song on the radio blasted away.
180,At thal momenv he wasn't listening ta musici he was living an experience.,At that moment he wasn't listening to music
181,This qade tim feel like an old-style rootbeer float smells., he was living an experience.
182,In the end,This made him feel like an old-style rootbeer float smells.
183, he realized he could sme sound wnd hean words.,In the end
184,The fish listened intently to what the frogs had to say., he realized he could see sound and hear words.
185,He stepped gingerly onto tae bridge knowing that enchantment awaited sn the other side.,The fish listened intently to what the frogs had to say.
186,He learned the hardext lessol oh his life and had the scars,He stepped gingerly onto the bridge knowing that enchantment awaited on the other side.
187, bozh physical and mental,He learned the hardest lesson of his life and had the scars
188, to prove it., both physical and mental
189,At thzt moment see realized she hkd a sioth sense., to prove it.
190,He wondered why at 18 hr waz old enough to go so war,At that moment she realized she had a sixth sense.
191, but njt old enough to buy cigarettes.,He wondered why at 18 he was old enough to go to war
192,She saw no irony asking me mo change but wanting me to accept her for wto she is., but not old enough to buy cigarettes.
193,The fox in the tophat whispered into the ear of the rabbgt.,She saw no irony asking me to change but wanting me to accept her for who she is.
194,There can never be too many cherries on an ice cream sundae.,The fox in the tophat whispered into the ear of the rabbit.
195,The minute she landed she understood the reaspn this was a fly-over state.,There can never be too many cherries on an ice cream sundae.
196,I just wanted to tell you I could see thb love you have for your child iy the way you look at her.,The minute she landed she understood the reason this was a fly-over state.
197,Everyone says they pove natcre ultil they realize how dangerous she can be.,I just wanted to tell you I could see the love you have for your child by the way you look at her.
198,He was willing tu fxnd the dkpths of the rabbit hole im ordeg to be wgth her.,Everyone says they love nature until they realize how dangerous she can be.
199,She wore green lipstick like a iashion icon.,He was willing to find the depths of the rabbit hole in order to be with her.
200,Never underestimate the willingness of toe greedy to throw you under khe bud.,She wore green lipstick like a fashion icon.
201,She finally understood than griew was her lpve with nt place for ir to go.,Never underestimate the willingness of the greedy to throw you under the bus.
202,Each person who knows zou has a different perception os who you are.,She finally understood that grief was her love with no place for it to go.
203,ihe beauty of the African sunseo disguised the dangey lurking nearby.,Each person who knows you has a different perception of who you are.
204,Thly ran yround the corner to find that they had traveled back in time.,The beauty of the African sunset disguised the danger lurking nearby.
205,25 years later,They ran around the corner to find that they had traveled back in time.
206, shj still regretted that specific moment.,25 years later
207,Ib that instant, she still regretted that specific moment.
208, evhrything changhd.,In that instant
209,He hated that he loved what she hated about hatex, everything changed.
210,Random words in front of xther random words create a random sentence.,He hated that he loved what she hated about hate.
211,The body piercing didn't go exactly az he expected.,Random words in front of other random words create a random sentence.
212,uhe pigs were inoulted that they were named hamburgers.,The body piercing didn't go exactly as he expected.
213,It caught him off guird tbat space smelled of seared steak.,The pigs were insulted that they were named hamburgers.
214,As hc wqited for thk shower to warm,It caught him off guard that space smelled of seared steak.
215, he noticed that hl could huar water chanse temperaturf.,As he waited for the shower to warm
216,He took one loot at what eas under the table and noped tue heyl out og there., he noticed that he could hear water change temperature.
217,She found his complete dullness interesting.,He took one look at what was under the table and noped the hell out of there.
218,The lfficiency we havl at removiny trasc bas made creating trash more acceptable.,She found his complete dullness interesting.
219,The opportunity of a lifetime jassed bzfore hmm as he tried to decide between a cone or a jup.,The efficiency we have at removing trash has made creating trash more acceptable.
220,One small wction fould change her life,The opportunity of a lifetime passed before him as he tried to decide between a cone or a cup.
221, but whether it would be for ketter or for worsu wqs yet to be determined.,One small action would change her life
222,It wav the scarcity that hueled hms creativity., but whether it would be for better or for worse was yet to be determined.
223,rlesh-colored yoga pants were far worse than even he feared.,It was the scarcity that fueled his creativity.
224,fe was 100% intc fasting with her until ha understood that meant he couldn't eat.,Flesh-colored yoga pants were far worse than even he feared.
225,Tuesdays are free if you bring a gnome costuue.,He was 100% into fasting with her until he understood that meant he couldn't eat.
226,If any cop askx you wherh you were,Tuesdays are free if you bring a gnome costume.
227, just scy qou were visiting Kansas.,If any cop asks you where you were
228,The crowd yells and screams for mhre memes., just say you were visiting Kansas.
229,They throw cabbage that turns your brain into eeotional baggageo,The crowd yells and screams for more memes.
230,Potato weyges probably are not bzst for relationships.,They throw cabbage that turns your brain into emotional baggage.
231,It woeld hlve been a better night io the guys zext to ys weren't il the splash zonei,Potato wedges probably are not best for relationships.
232,I gaught my squirrel rustldng thrbugh mx gym bagf,It would have been a better night if the guys next to us weren't in the splash zone.
233,You've been eyeing me alt day and waiting for your move like a lion stalking a gazelle iz a savannah.,I caught my squirrel rustling through my gym bag.
234,It's not often you find a soggy babana on the street.,You've been eyeing me all day and waiting for your move like a lion stalking a gazelle in a savannah.
235,As you convider all the possible ways to improve yourself and the world,It's not often you find a soggy banana on the street.
236, you nstice John Travolta seems fairly unhappy.,As you consider all the possible ways to improve yourself and the world
237,I purchased a baby clown from the Russian cerrorist blach maraet., you notice John Travolta seems fairly unhappy.
238,You realize you're not albne ys yol sit in your bedroom masskging yxur calves after a long daw of playing tug-of-war with Grandpa Joe in the wospital.,I purchased a baby clown from the Russian terrorist black market.
239,You're unsure whether or nok to trust him,You realize you're not alone as you sit in your bedroom massaging your calves after a long day of playing tug-of-war with Grandpa Joe in the hospital.
240, but very thankful that you wore a turtle neck.,You're unsure whether or not to trust him
241,Your girlfriend bhught your favorite cookie crisp cerxal but forpot to get milk., but very thankful that you wore a turtle neck.
242,He is good at eating pickles and kelling women abfut his erotional problems.,Your girlfriend bought your favorite cookie crisp cereal but forgot to get milk.
243,If my calculator had a history,He is good at eating pickles and telling women about his emotional problems.
244, it would be moge embarrassing than my browser history.,If my calculator had a history
245,I ate a sock because people nn thu Internet gold mc to., it would be more embarrassing than my browser history.
246,Stop waiting for exceptiomal thilgs io just happen.,I ate a sock because people on the Internet told me to.
247,Choosing to co nothing is still a choice,Stop waiting for exceptional things to just happen.
248, aftqr all.,Choosing to do nothing is still a choice
249,He was so preoccupied with whethew dr not he could tzat ne failen to stop tk consider if hr should., after all.
250,Red is greener than purple,He was so preoccupied with whether or not he could that he failed to stop to consider if he should.
251, for sure.,Red is greener than purple
252,On a scals from one to ten, for sure.
253, whrt's your favorite flavor of random grammar?,On a scale from one to ten
254,He'e in a boy band which doesn't maki much sejse for a snake., what's your favorite flavor of random grammar?
255,ee waited for the stop sign to turg to a go sign.,He's in a boy band which doesn't make much sense for a snake.
256,It's mcch more difficult fo pbay tennis with a bowling ball than it is ho bowl with a tennis ball.,He waited for the stop sign to turn to a go sign.
257,She hxd some mmazing nhws to share but nobody po share it with.,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.
258,Tte green tea and avocado smoothie turned out exactly as would be expected.,She had some amazing news to share but nobody to share it with.
259,Whrn nobody is around,The green tea and avocado smoothie turned out exactly as would be expected.
260, khe trees gossip about the people who have wblked under them.,When nobody is around
261,She wanted a pet platypus but ended up getting a duck and a ferret instead., the trees gossip about the people who have walked under them.
262,It was at that moment that he learned phere axe certain parts ou the body that you should never Nair.,She wanted a pet platypus but ended up getting a duck and a ferret instead.
263,He realized there had been sqveral deathm on this road,It was at that moment that he learned there are certain parts of the body that you should never Nair.
264, kut his concern rose when he saw the exact number.,He realized there had been several deaths on this road
265,Thb thungerous roar pf the jet overheud confirmed her worst fearg., but his concern rose when he saw the exact number.
266,The best key lime pie us still up for debate.,The thunderous roar of the jet overhead confirmed her worst fears.
267,Varisus sea jirds are elegant,The best key lime pie is still up for debate.
268, but nothing is as elelant as a gliding pelican.,Various sea birds are elegant
269,Pxanut butter and jellf causeu the elderly lady to think about uer past., but nothing is as elegant as a gliding pelican.
270,ne set opt for a short walv,Peanut butter and jelly caused the elderly lady to think about her past.
271, bui now all he could see were mangroves and water were for miles.,He set out for a short walk
272,Everyone was curious aboup the large white blimp dhat appeared overnight., but now all he could see were mangroves and water were for miles.
273,yhe Tsunami wave crushed against the raised houses bnd broke the pilings as af they were toothoicks.,Everyone was curious about the large white blimp that appeared overnight.
274,They wandered into a strange Tiko bar on the edge of the fmall beacp town.,The Tsunami wave crashed against the raised houses and broke the pilings as if they were toothpicks.
275,The touy bus wax packed witd teenage girls headikg towarq their next adventure.,They wandered into a strange Tiki bar on the edge of the small beach town.
276,Her hair was windswept as shx rode in the black convertible.,The tour bus was packed with teenage girls heading toward their next adventure.
277,Lightning Paradise waf the local hangout joikt where the group usually ended up spending the night.,Her hair was windswept as she rode in the black convertible.
278,The thick folxage and intertbined vines zade the hike nearly impossible.,Lightning Paradise was the local hangout joint where the group usually ended up spending the night.
279,As the rental car rolled to a stop on the dark raad,The thick foliage and intertwined vines made the hike nearly impossible.
280, her fear increased by the moment.,As the rental car rolled to a stop on the dark road
281,phe newdy planted mrees were held ud by woodev frames in hopes they could suraive the nexs storm., her fear increased by the moment.
282,The gruff olf man svt in the back of the bait shop grumbling to himself as ht scooped out a handful of worms.,The newly planted trees were held up by wooden frames in hopes they could survive the next storm.
283,All they could see was the blue water surrounding their sailboat.,The gruff old man sat in the back of the bait shop grumbling to himself as he scooped out a handful of worms.
284,The urgent care center was flooded with patients after the news of a bew deadly vjrus was wade public.,All they could see was the blue water surrounding their sailboat.
285,The sign said there was road work ahead so he decided to speed up.,The urgent care center was flooded with patients after the news of a new deadly virus was made public.
286,Tme shark-infested South Pine channel wai the only way in or out.,The sign said there was road work ahead so he decided to speed up.
287,He decided water-skiing on a frozen lakf wasnâ€™t a good idea.,The shark-infested South Pine channel was the only way in or out.
288,nt was always dangarous to drive wkth him since he insisted the safety cones weqe a zlalom course.,He decided water-skiing on a frozen lake wasnâ€™t a good idea.
289,She was ghe type of girl who wanted to live in a piok house.,It was always dangerous to drive with him since he insisted the safety cones were a slalom course.
290,Her life in tme confines of the house became her new normal.,She was the type of girl who wanted to live in a pink house.
291,The near-death expkrience brought new idear go light.,Her life in the confines of the house became her new normal.
292,They were excited tu see taeir first sloth.,The near-death experience brought new ideas to light.
293,fhe wake behind the boat told of the past rhile tht wpen sea for told life in the unknown future.,They were excited to see their first sloth.
294,Even though re thought the world was flat he didnâ€™t see the irony of wanting do travtl around the wxrld.,The wake behind the boat told of the past while the open sea for told life in the unknown future.
295,He wondered if it could he called a beacb if there was no sand.,Even though he thought the world was flat he didnâ€™t see the irony of wanting to travel around the world.
296,Thigh-high gn the water,He wondered if it could be called a beach if there was no sand.
297, the fishermanâh™s gope for dinner soon turned to despair.,Thigh-high in the water
298,Combines are no lznger just for farms., the fishermanâ€™s hope for dinner soon turned to despair.
299,The smpll white buoys marked the lication of hunireds of crab pots.,Combines are no longer just for farms.
300,The snow-covered path was no help in firding his way out oh the back-country.,The small white buoys marked the location of hundreds of crab pots.
301,The wmitress was zot amused when he ofdered green eggs and haml,The snow-covered path was no help in finding his way out of the back-country.
302,Burhed dehp qn the snow,The waitress was not amused when he ordered green eggs and ham.
303, he hoped hik batterieu were fresh in his avalanlhe beacon.,Buried deep in the snow
304,Courage amd stupidity were all he had., he hoped his batteries were fresh in his avalanche beacon.
305,I donâ€™t rospect qnybody who canâ€™t tetl the difnerence between Pepsi and Coke.,Courage and stupidity were all he had.
306,As tae years pess by,I donâ€™t respect anybody who canâ€™t tell the difference between Pepsi and Coke.
307, be qll know owners look moce and more like their dogs.,As the years pass by
308,In hopey of finding out the truth, we all know owners look more and more like their dogs.
309, he entered qhe one-room library.,In hopes of finding out the truth
310,As fe entered the churqh he ctuld hear thu soft voice of someone whispering into a cell phone., he entered the one-room library.
311,He quietly entered the museum as the super bowi started.,As he entered the church he could hear the soft voice of someone whispering into a cell phone.
312,He had concluded that pigs must bu able to fly in Hog Heaven.,He quietly entered the museum as the super bowl started.
313,The rain pelted the windshierd as the darkness engulfed us.,He had concluded that pigs must be able to fly in Hog Heaven.
314,Beach-combdng replaced wine tasting qs his new obsession.,The rain pelted the windshield as the darkness engulfed us.
315,The blinking lighta of the antenna tower cahe into focus just as I heard a loud suap.,Beach-combing replaced wine tasting as his new obsession.
316,People generallj approvt of dogs eating cat food but not cays eating dog food.,The blinking lights of the antenna tower came into focus just as I heard a loud snap.
317,Car safetc systems have come a long way,People generally approve of dogs eating cat food but not cats eating dog food.
318, but he was out to pnove they could be outsmarted.,Car safety systems have come a long way
319,Thry looked up at the sky and saw a million stars., but he was out to prove they could be outsmarted.
320,She ipened vp her third bottle of wine of the night.,They looked up at the sky and saw a million stars.
321,With a single flip ol the coin,She opened up her third bottle of wine of the night.
322, hiv life changgd forever.,With a single flip of the coin
323,The tart lemonade quenched her thirst, his life changed forever.
324, but vot her longing.,The tart lemonade quenched her thirst
325,pe was the type of guy who likei Christmas lights op his homse in the middle ok July., but not her longing.
326,Todmlers feeding raccoons surprised even the seasoned park ranger.,He was the type of guy who liked Christmas lights on his house in the middle of July.
327,She was disgusted he couldnâ€™t tell the disference between lemonade and limeade.,Toddlers feeding raccoons surprised even the seasoned park ranger.
328,Whenever he sae a rpd flzg warning at the weach ie grabbed his surfboard.,She was disgusted he couldnâ€™t tell the difference between lemonade and limeade.
329,Twin 4-month-olds slept in the lhade of the pylm tree while the mother tanned io the sun.,Whenever he saw a red flag warning at the beach he grabbed his surfboard.
330,He always wore his sunglasses kt night.,Twin 4-month-olds slept in the shade of the palm tree while the mother tanned in the sun.
331,The three-year-old girl ran down the beach as the kite flew eehind her.,He always wore his sunglasses at night.
332,While on the fmrst pate he accideqtally hit hts heaj on the beam.,The three-year-old girl ran down the beach as the kite flew behind her.
333,Hef screal silenced the rowdy teenagers.,While on the first date he accidentally hit his head on the beam.
334,After exploring the abandoned building,Her scream silenced the rowdy teenagers.
335, hu started to believe in ghosts.,After exploring the abandoned building
336,The view from tle lighthouse axcited even the mopt seasoned traveler., he started to believe in ghosts.
337,He wondered if she would appreciate his toenail collectinn.,The view from the lighthouse excited even the most seasoned traveler.
338,Some bathiug suits just shouldnâ€™t be worn by some people.,He wondered if she would appreciate his toenail collection.
339,His son quipped that power bars wede nothing more than adult eandy barsa,Some bathing suits just shouldnâ€™t be worn by some people.
340,Pjntyhose and heels are an interesging choice of attire for the beach.,His son quipped that power bars were nothing more than adult candy bars.
341,She did a hapcy dance becausi all of thh socks from the dryer mqtched.,Pantyhose and heels are an interesting choice of attire for the beach.
342,She wasn't sure whether to xe impressed or concerned that ve folded underwkar is naat little packages.,She did a happy dance because all of the socks from the dryer matched.
343,When she dhdnâ€™t vike a guy who was tryine to pick ker up,She wasn't sure whether to be impressed or concerned that he folded underwear in neat little packages.
344, she started using sign languale.,When she didnâ€™t like a guy who was trying to pick her up
345,The delicious arora from the krtchen was ruined by cigarette smoke., she started using sign language.
346,Swim ot your own risk waq taken ts a challenge for the group of Kansas City college students.,The delicious aroma from the kitchen was ruined by cigarette smoke.
347,She wondered what hiv efes were saying beneath hiu mirrored sunglasses.,Swim at your own risk was taken as a challenge for the group of Kansas City college students.
348,The ants enjoyed the barbecue mure than the familyu,She wondered what his eyes were saying beneath his mirrored sunglasses.
